team,seed,kenpom_rating,
Duke,1,37.65,
Arizona,1,37.81,
Michigan,1,37.33,
Florida,1,34.12,
Houston,2,33.76,
Iowa State,2,32.67,
Illinois,3,32.57,
Purdue,2,31.54,
Michigan State,3,28.59,
Gonzaga,3,27.5,
Connecticut,2,27.57,
Vanderbilt,5,27.63,
Virginia,3,26.23,
Nebraska,4,26.83,
Arkansas,4,26.26,
Tennessee,6,26.61,
St. John's,5,26.57,
Alabama,4,26.21,
Louisville,6,25.07,
Texas Tech,5,25.78,
Kansas,4,24.24,
Iowa,9,22.8,
UCLA,7,21.71,
Kentucky,7,21.71,
Utah State,9,21.41,
Miami (FL),7,21.06,
Texas,11,19.78,
Texas A&M,10,19.72,
Saint Louis,9,20.02,
TCU,9,17.86,
VCU,11,18.010,
High Point,12,9.170,
Georgia, 8, 19.32,
Villanova,8,19.91,
Santa Clara,10,19.22,
Clemson,8,18.94,
Missouri,10,15.43,
UCF,10,14.99,
Akron,12,12.73,
Northern Iowa,12,11.53,
Hofstra,13,9.59,
Miami (OH),11,9.29,
Cal Baptist,13,5.81,
Wright State,14,2.06,
Queens,15,-1.41,
Tennessee State,15,-1.84,
Furman,15,-1.89,
LIU,16,-3.89,
Prairie View AM,16,-9.85,
Siena, 16, -0.98,
Ohio State, 8, 21.86,
South Florida, 11, 16.55,
North Dakota State, 14, 4.53,
McNeese, 12, 12.48,
Troy, 13, 1.2,
North Carolina, 6, 20.32,
Penn, 14, 1.03,
Saint Mary's, 7, 21.91,
Idaho, 15, .99,
Wisconsin, 5, 22.8,
Hawaii, 13, 5.59,
BYU, 6, 22.62,
Kennessaw State, 14, 1.15,
Howard, 16, -2.56,
